Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
GSM1706836,0,0.016811388187128,0,0.14427984475066,0.037852377984572,0,0.058802935070399,0,0,0.048859834372453,0.10722603795777,0,0.04056658512088,0,0,0.020718588779286,0,0.0027537792489038,0.017778565568692,0,0.019858469677108,0.48449159328214,0,0.7835993881200649,0.8294190066811805
GSM1706837,0.087244763488007,0,0,0.1125818326644,0.078421438233182,0.016052734920666,0.062060057237598,0,0,0.14352037687276,0.029551600880544,0,0,0,0,0.017458442270882,0,0.0023100062535579,0.037087353267071,0,0.011379331373435,0.4023320625379,0,0.7271530004839665,0.8744302147235865
GSM1706838,0.0026266299334445,0.01516217039113,0,0.24838183074832,0.012350310606446,0,0.060484322913175,0,0,0.085530505134327,0.09901585907499,0,0,0,0,0.03522765600067,0.0018734701736645,0.0002,0.0295308750508,0,0.013674151178205,0.39589493937097,0,0.77097492452649,0.8216252957704981
GSM1706839,0,0.035315333721612,0,0.18629265012416,0.008339575538802,0,0.073754625374919,0,0,0.012585645916648,0.080502464359851,0,0.010711963965577,0,0,0.015815793381255,0,0.0031499899278801,0.027748287133133,0,0.036799613432873,0.50898405712329,0,0.7802350566478198,0.9054370017811426
GSM1706840,0,0.050181908254408,0,0.23216792891198,0.034886803874336,0,0.050773663778802,0,0,0.050533865499816,0.056259310107507,0,0.037851788175746,0,0,0.017367625740202,0,0,0.019213741807138,0,0,0.45076336385006,0,0.7903970853473734,0.8141491703155335
GSM1706841,0,0.012577247847232,0,0.2591042573763,0,0,0.070308449080702,0,0,0.055087193481742,0.0698249330131,0,0,0,0,0.03676106687434,0,0,0.024143073167598,0,0,0.47219377915899,0,0.8054051005418167,0.8479100108619386
GSM1706842,0.0051176071038027,0.0055637779444675,0,0.29425252742661,0.0085173108370444,0,0.060593308542139,0,0,0.011654831339988,0.10585503976122,0,0.05404547865971,0,0,0.013539300284672,0,0,0.012865126556751,0,0,0.42799569154359,0,0.762645237941908,0.9404947225848249
GSM1706843,0.0025927330285889,0,0.0049835198026254,0.047158378408613,0.10180619703247,0,0.08815922588715,0,0,0.0022514343977944,0.10799456387402,0,0.019552411397226,0,0,0.018560712110929,0,0,0,0,0,0.60694082406058,0,0.8119451081735201,0.9238869656477969
GSM1706844,0,0.026344645938583,0,0.15392685078927,0.0044876313534814,0,0.058764803267418,0,0,0,0.12077843131232,0,0.023891740952508,0,0,0.012209457729252,0,0,0.023703314074426,0,0,0.57589312458274,0,0.8003894544465116,0.8964129885683253
GSM1706845,0,0.011018916762521,0,0.16808907054392,0,0,0.08972726524829,0,0,0.073223102395036,0.15936435483494,0,0.016316812930443,0,0,0.020548313275357,0,0.0039196020278441,0.014806475493447,0,0.0056134348061653,0.43737265168204,0,0.7920535307827048,0.8212023933018991
GSM1706846,0,0.006592789023503,0,0.2414062032453,0.01814889071831,0,0.054250121438997,0,0,0,0.084375741843354,0,0.029951366106196,0,0,0.027907987792438,0,0,0.01933228737685,0,0.016809246668636,0.50122536578641,0,0.7901167933309987,0.8508281178785633
GSM1706847,0.036768790166163,0.036364217444005,0,0.18665239510611,0.11479320675081,0,0.064293075501511,0,0,0.10091169795024,0.054511209886944,0,0.023169936102503,0,0,0.022227657967038,0,0,0.024506368890274,0,0.036063477080646,0.29973796715376,0,0.6988840509217892,0.784862479287696
GSM1706848,0.015718935644592,0,0,0.17819205780263,0.0028449418051411,0,0.084889392642794,0,0,0.12941486875142,0.059557475818656,0,0.034105659398348,0,0,0.026864171626718,0,0.0066458532879139,0.03997542290298,0,0.10841715490267,0.31337406541614,0,0.6170208776140232,0.9248491673871363
GSM1706849,0.058072324667975,0,0,0.16408306624061,0.077549363007549,0,0.062897953773114,0,0,0.050725760787351,0.12101110291536,0,0,0,0,0.017990749859991,0,0,0.017740220517323,0,0.019296536352446,0.41063292187828,0,0.7769012241486775,0.8692778938619696
GSM1706850,0,0.018186581310647,0,0.14256995396046,0.054940050631663,0,0.045816504610401,0,0,0.054396505691516,0.070176105694614,0,0.067511167255447,0,0,0.020949223437333,0,0,0.018802147555253,0,0.021301666111541,0.48535009374113,0,0.7901311077563598,0.8778827055188895
GSM1706851,0.0031647614012585,0.041529343110951,0,0.25165250629827,0.060927945546901,0,0.04830150123388,0,0,0.02326238123098,0.10301315504951,0,0,0,0,0.022729379320607,0,0,0.016545967699172,0,0.0062081540029942,0.42266490510548,0,0.7602130484655131,0.8322795959967839
GSM1706852,0,0.018893655334494,0,0.13890939744009,0.066425256378966,0,0.061589983335585,0,0,0.048179434539636,0.093376939267205,0,0,0,0,0.020542256713278,0,0,0.021754647226767,0,0.0092330080255819,0.52109542173839,0,0.8052773538742758,0.8946619086697387
GSM1706853,0.015273772675102,0.012850668141564,0,0.17604391224999,0.046582643083878,0,0.044017224409907,0,0,0,0.07441839614122,0,0.0033340232870151,0,0,0.019741353141373,0,0,0.033563956022372,0,0.014041660057441,0.56013239079013,0,0.8030218156084573,0.9262299682461629
GSM1706854,0.013245255729487,0.0011512956513686,0,0.20057425683136,0,0,0.045628606654147,0,0,0.020230080793733,0.11518151567599,0,0.016100640448059,0,0,0.028780091023776,0,0,0.012595536665619,0,0,0.54651272052646,0,0.8044225910592285,1.0910032107747605
GSM1706855,0,0.046368463766648,0,0.25798534457406,0,0,0.068460428384225,0,0,0.015904856188296,0.071120040449415,0,0.01143025849246,0,0,0.030064720820877,0,0.0024351958711137,0.015620808650657,0,0,0.48060988280225,0,0.7849267114517758,0.7809341278750074
GSM1706856,0,0.0061939628495396,0,0.12905816379632,0.016237944567878,0,0.062910039910885,0,0,0.04320174336317,0.16604230954808,0,0.012747733355603,0,0,0.022018196865065,0,0.0021945437128501,0.011620370500667,0,0,0.52777499152994,0,0.7719174909725347,0.8350442324676951
GSM1706857,0,0.047549309534586,0,0.12831966209302,0.03698572678482,0,0.046001429408495,0,0,0.017708622362852,0.072923324264558,0,0.027068245367049,0,0,0.023571105071101,0,0.0018118741602775,0.028508799470675,0,0,0.56955190148257,0,0.8163853697556234,0.8962609991276946
GSM1706858,0,0.02105154769224,0,0.12273962508458,0.041367196383106,0,0.061870400295802,0,0,0.0090570372683869,0.076828396663421,0,0.10592879716111,0,0,0.014781181822711,0,0,0.028615741256593,0,0,0.51776007637205,0,0.7934749826700318,0.8658216985704872
GSM1706859,0,0.046879175127304,0,0.1069251558151,0.041316697271348,0,0.072286222911248,0,0,0.036532823552166,0.068305155650227,0,0,0,0,0.023410481533982,0,0.0036939932468735,0.015711385364863,0,0.016038548503082,0.56890036102381,0,0.8182716036618234,0.8934567219429388
GSM1706860,0.027950439578397,0.0085895483710736,0,0.21808699124062,0.030343189203921,0,0.074635593250096,0,0,0.010071974579011,0.043387707546094,0,0.047834453055603,0,0,0.014303356242921,0,0.0005,0.032727570474312,0,0,0.49155705469858,0,0.7819299705395905,0.9614803278186148
GSM1706861,0.032102903423151,0.0078472298841814,0,0.044648519537537,0.061402888079458,0.044221082864096,0.045768822983132,0,0,0.17983291483987,0,0,0,0,0,0.020991803166679,0,0.0012663872839431,0.035475047362328,0,0.0049406776466293,0.52150172292899,0,0.7911823836812469,0.8857041426893353
GSM1706862,0.021714682999081,0.0071190611808786,0,0.25048303968173,0.039363623388727,0,0.054220233601123,0,0,0.023279189758185,0.11590822311522,0,0.04915474154013,0,0,0.0182714495192,0,0,0.017874765213448,0,0.01063854889522,0.39197244110706,0,0.7566335901791613,0.8351303991819081
GSM1706863,0.10017784280722,0,0,0.095079334621797,0.077961255855067,0,0.062983252814108,0,0,0.020196165683449,0.061133793900834,0,0,0,0.0013123154058827,0.033869976619381,0.0098919714770223,0,0.022371001423231,0,0.088790670749243,0.42623241864276,0,0.7080933287613967,0.9462874016927563
GSM1706864,0.0075490308369843,0.020569883348867,0,0.23106628963829,0.029151956176649,0,0.056145715295478,0,0,0,0.059977611185815,0,0.026828297209387,0,0,0.031851812713269,0.0032435087808028,0,0.038530850663111,0,0.031008786571849,0.4640762575795,0,0.7803373371193648,0.8932429771339576
GSM1706865,0,0.035993229917066,0,0.32430821459129,0,0,0.062311845683238,0,0,0.0018999399654359,0.12456831255352,0,0.0286967330143,0,0,0.02035026082223,0,0,0.0080507974670096,0,0.0077198688811425,0.38610079710476,0,0.7727673980767122,0.8273962388832655
GSM1706866,0,0.01177401648158,0,0.18800941989472,0,0,0.05686888202269,0,0,0.069586725584346,0.16488078930006,0,0.0017301873210209,0,0,0.020808308058478,0,0.0008,0.01546256002145,0,0,0.47009050590462,0,0.8001465959039333,0.764751081861952
GSM1706867,0.064755177758845,0.0016319898769266,0,0.069736509546724,0.082804826825365,0.0017609728435221,0.044302809476463,0,0,0.078640428639578,0.022501537387096,0,0.031059013335096,0,0,0.017588365961944,0,0.0002,0.028726623922719,0,0.066438135240138,0.48987688436391,0,0.7860998841069587,1.0065303186634287
GSM1706868,0.049915470101247,0,0,0.27923419457091,0.13837811302422,0,0.067562038794363,0,0,0.0097333216166793,0.11236556150762,0,0.035150645672796,0,0,0.006748584605152,0,0,0.01390212142986,0,0.010362749271261,0.27664719940589,0,0.729807270426606,0.7071883520374519
GSM1706869,0.0072537905549978,0.0060559089442755,0,0.20943083299931,0.027934953090138,0,0.07555001925781,0,0,0,0.088154854231256,0,0.010756721493733,0,0,0.019788389018768,0.0013349331880351,0,0.030912465291183,0,0.087343351333267,0.43548378059723,0,0.7698917283076204,0.7757264854051482
GSM1706870,0.003758182648783,0.02628368799543,0,0.22698478863569,0.033858333171916,0,0.065985580361823,0,0,0,0.15050957291103,0,0.047564141342716,0,0,0.020779197279743,0,0.0004,0.015491285077292,0,0.031565797566182,0.37678330765912,0,0.7681115788678675,0.7876356864346735
GSM1706871,0.013843496314103,0.014837681694127,0,0.13814249731993,0.070554792000009,0.012596695531889,0.056638712645707,0,0,0.0077984447470332,0.094050385674428,0,0.0001,0,0,0.017281109752982,0.0004,0,0.033570070852757,0,0,0.54017902980515,0,0.7555226017615763,0.9379259090947036
GSM1706872,0.0013832948747051,0.050165220194462,0,0.089058412947519,0.097118228507174,0,0.055718208040337,0,0,0.028656667294348,0.06142755431786,0,0,0,0,0.02378696497524,0.0032982955401449,0,0.038119973729954,0,0,0.55126717957826,0,0.7955534686750589,0.8952785657638876
GSM1706873,0,0.068137715477018,0,0.12275902944229,0.049405707386141,0.005968435140638,0.049979589246845,0,0,0.070933727822302,0.042034296229627,0,0.059475127801786,0,0,0.016861814263082,0,0,0.021007255010361,0,0.0068767871594108,0.4865605150205,0,0.7772205786560273,0.8280239271947466
GSM1706874,0.020162155117579,0.0018704530264925,0,0.23069493751896,0.059381476959751,0,0.061098319534941,0,0,0.0090104724507138,0.078576436760146,0,0.033829316418638,0,0,0.017556459572011,0,0,0.017245491807697,0,0.0023490830372531,0.46822539779582,0,0.7969242507174513,0.7810916266189161
GSM1706875,0,0.02986132442465,0,0.049479463723493,0.08465494106891,0.016067546535607,0.060986975928883,0,0,0.097031786823423,0.0691809735262,0,0.010468810356639,0,0,0.013565663482316,0,0.0062489120609872,0.03020680429461,0,0.036568122182372,0.49567867559191,0,0.7722728940097849,0.8243984699740982
GSM1706876,0.012321419791689,0.0013768184470225,0,0.15219742531846,0,0,0.053539652292633,0,0,0.063155252517372,0.1657435392506,0,0.0097061489631779,0,0,0.025839912314399,0,0.0021441632410922,0.0088096528626387,0,0.035921784478427,0.46924423052249,0,0.7673096750456564,0.8893677499585763
GSM1706877,0.080111326988702,0,0,0.1099124649126,0.044036378834772,0,0.050066977998099,0,0,0.031486439703683,0.056751762822004,0,0.0061733420342818,0,0,0.011815632525025,0,0,0.016626467384893,0,0,0.59301920679594,0,0.8077164754058862,1.0685653320539628
GSM1706878,0.0034980979888654,0.027570125494434,0,0.12235773067096,0.064883675056592,0.066920918260315,0.061885878363729,0,0,0.044596850258978,0.019349335582267,0,0.0042910727336091,0,0,0.027411815278022,0.0033439382116709,0,0.039071137028661,0,0.029064415226261,0.48575500984564,0,0.7516922451839678,0.88543839911596
GSM1706879,0,0.016469698625549,0,0.12418342375724,0.037146623572728,0,0.0358732963405,0,0,0.041858392879346,0.074789366693702,0,0.050816078797592,0,0,0.024871016272031,0,0.0038228015050301,0.011288990799087,0,0,0.57888031075719,0,0.8022275284749264,0.9941855961362905
GSM1706880,0,0.067694657380855,0,0.15872438199964,0.011791807260131,0,0.035097236867092,0,0,0.012110926893672,0.067688790846095,0,0,0,0,0.032421548500931,0,0,0,0,0,0.61447065025159,0,0.8022897987550227,1.0883457833415604
GSM1706881,0,0.018353339726295,0,0.3255510325114,0,0,0.077792897355573,0,0,0.012271440884042,0.10199897717412,0,0.014517307821632,0,0,0.017915047382745,0,0,0.017821192753703,0,0,0.41377876439049,0,0.7718650807878947,0.8931764488297206
GSM1706882,0,0.026143276779636,0,0.21733356368603,0,0,0.032156676037964,0,0,0,0.10594005158747,0,0.075183440065303,0,0,0.019146744498851,0,0,0.0085521668843936,0,0,0.51554408046035,0,0.7986932182181505,0.8953710423512614
GSM1706883,0,0.019558455617534,0,0.10445214402234,0.03344493581916,0,0.053500587016072,0,0,0.067902619463816,0.072994552880599,0,0.036264679803597,0,0,0.033104252133336,0,0.0013035109142623,0.026859994588544,0,0,0.55061426774074,0,0.7787876249090947,0.9221356471469185
