Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
GSM2159829,0.032400188394186,0.0007,0,0.29601775850892,0,0.12386961870803,0.045192560618517,0,0.0020151539472338,0.059616812282388,0.24951628204029,0,0.17516650206933,0,0,0,0,0.0007,0.014861713019944,0,0,0,0,0.7237625258508247,0.7392608412125226
GSM2159830,0.016252842148138,0.0064676237431878,0,0.33322549092756,0.018750817682065,0.053752288454096,0.036523249100636,0,0.0039216498268584,0.14132179655906,0.24321406055578,0,0.11312847073022,0,0,0.0050819538492372,0,0.0018978130529802,0.026461943370188,0,0,0,0,0.7124469193553528,0.8007979628005482
GSM2159831,0.015652038320103,0,0.0022762750401503,0.27466195904867,0.049030859058491,0.10680814516582,0.050479183237328,0,0.0005,0.03193410939627,0.1319236658856,0,0.28668521120148,0,0,0.0062760913740322,0,0.0013736833639318,0.042422694791464,0,0,0,0,0.5875102552051829,0.878744424683339
GSM2159832,0.0045093673477489,0.0077589015249118,0.0015719362919641,0.31490729704744,0.074927843868935,0.030930013241903,0.045841668125159,0,0,0,0.22594403736034,0,0.25327436652966,0,0,0.006267519073028,0,0.002399154678124,0.031667894910782,0,0,0,0,0.638447399614279,0.8264002966265509
GSM2159833,0.02472350959326,0,0,0.19540643477436,0.061261438622854,0.074558528350913,0.058815524672221,0,0,0,0.38442783606841,0,0.16624971311106,0,0,0.00852980642306,0,0.002751328448144,0.023275879935725,0,0,0,0,0.6855202450550449,0.7961795242514828
GSM2159834,0.013053536124906,0.0094741881695106,0,0.24356578101524,0.065037870973475,0,0.035968933849886,0,0.0004,0,0.29940893480577,0,0.28237586710548,0,0,0.0036504232930945,0,0,0.011334419346807,0,0,0.035689820089726,0,0.7158802791158244,0.8225498969866298
GSM2159835,0.01994005162423,0,0,0.29322568128586,0.029959872575645,0.0066029224610898,0.065802353602718,0,0.0039962571700423,0.13435431242584,0.22801033564055,0,0.17715489701998,0.0010265948036296,0,0.0045679101180005,0,0.0020357302861561,0.033323080986261,0,0,0,0,0.7238070130129334,0.7628723339099129
GSM2159836,0,0.012475383325487,0.075020608774999,0.36343538488795,0,0.044960825764421,0.029636395492842,0,0,0.036783788982722,0.19690782003939,0,0.2144675591733,0,0,0.0025953602202696,0,0.0012319692971293,0.0095632329956888,0,0,0.012921671045795,0,0.7369469115154079,0.7217115528651883
GSM2159837,0.032353292475854,0,0,0.14977861314798,0,0.17495705733415,0.092452924680157,0,0,0.0531269190067,0.24999673364487,0,0.19085742643357,0,0,0.015612917940407,0,0.006140470077757,0.034723645258555,0,0,0,0,0.569433632294243,0.9049264421128637
GSM2159838,0.0065036357481749,0,0.0012778463650921,0.16127709832098,0.2126144905607,0.053096002610433,0.087257468378424,0,0,0.14927797233755,0.16875061400878,0,0.087382760902433,0.012598740390741,0,0.011146106669663,0,0.0081568439691121,0.040660419737918,0,0,0,0,0.5622720765086886,0.891148300745184
